name;rating;convenience;security;functionality;comment
Мост 10;1.3;4;5;1;Это здание имеет стандартную конструкцию.
Верфь 32;1.5;5;2;3;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 4;0.5;5;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кафе 58;4.0;1;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кладбище 49;0.5;2;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Завод 67;0.4;2;1;2;Это здание представляет собой типичный образец современной архитектуры.
Плантация 35;2.6;2;4;2;Это великолепное здание!
Маяк 85;0.3;5;1;5;Это здание не имеет особых архитектурных особенностей.
Гусятник 66;1.6;3;1;3;Это здание не имеет особых архитектурных особенностей.
Убежище 16;2.4;4;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Институт 58;3.6;1;4;5;Это здание представляет собой типичный образец современной архитектуры.
Коровник 96;2.9;5;3;2;Это здание является примером функционального дизайна.
Университет 61;4.2;2;3;5;Это здание очень функционально.
Волчатник 84;4.4;4;1;3;Мне нравится дизайн этого здания.
Чердак 7;2.9;5;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Волчатник 40;3.3;2;2;3;Это здание имеет стандартную конструкцию.
Мануфактура 45;4.9;5;4;4;Это здание не имеет особых архитектурных особенностей.
Верфь 10;1.2;4;1;4;Это здание построено из стандартных строительных материалов.
Дупло 57;4.1;4;5;1;Это великолепное здание!
Мостки 40;0.7;2;3;3;Это здание имеет стандартную конструкцию.
Академия 5;3.8;4;3;5;Это здание имеет стандартную конструкцию.
Бомбоубежище 9;4.3;4;4;2;Это здание не имеет особых архитектурных особенностей.
Дупло 63;4.9;2;4;2;Это здание построено из стандартных строительных материалов.
Кладбище 49;0.6;2;3;5;Это здание является примером функционального дизайна.
Супермаркет 27;1.3;4;2;5;Это здание является примером функционального дизайна.
Академия 5;0.3;4;5;4;Мне нравится дизайн этого здания.
Церковь 79;4.2;2;4;4;Это здание очень функционально.
Нефтепровод 16;2.9;1;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Музей 85;1.3;5;1;1;Это здание представляет собой типичный образец современной архитектуры.
Волчатник 84;3.7;4;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Нефтепровод 16;4.9;3;1;2;Это здание построено из стандартных строительных материалов.
Автомойка 29;0.5;5;2;3;У этого здания отличная архитектура.
Автомойка 29;3.1;4;1;5;Это здание представляет собой типичный образец современной архитектуры.
Университет 61;3.0;2;2;3;Мне нравится дизайн этого здания.
Крольчатник 79;1.2;4;2;1;Это здание представляет собой типичный образец современной архитектуры.
Офис 44;4.3;3;3;4;Это великолепное здание!
Цирк 80;1.0;2;5;2;Это здание не имеет особых архитектурных особенностей.
Склад 20;3.8;2;2;5;Это здание построено из стандартных строительных материалов.
Церковь 79;3.4;4;3;1;Это здание построено из стандартных строительных материалов.
Мостки 12;2.3;4;4;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Академия 5;3.1;3;1;4;Мне нравится дизайн этого здания.
Жилой дом 13;2.0;4;2;2;Это здание представляет собой типичный образец современной архитектуры.
Академия 5;0.3;1;3;2;Это здание является примером функционального дизайна.
Нефтепровод 16;3.4;2;1;3;Это здание является примером функционального дизайна.
Чердак 7;1.4;4;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лифт 20;1.9;3;1;1;Это здание имеет стандартную конструкцию.
Страусятник 65;2.8;2;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Склад 20;0.4;5;2;4;Это здание представляет собой типичный образец современной архитектуры.
Убежище 16;3.9;2;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Отель 50;2.3;2;4;1;Это здание построено из стандартных строительных материалов.
Верфь 10;1.9;2;1;3;Это здание представляет собой типичный образец современной архитектуры.
Университет 61;1.7;3;3;4;Это великолепное здание!
Мост 61;3.9;4;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кладбище 49;2.0;5;1;3;Это великолепное здание!
Котельная 94;1.1;4;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Академия 3;3.7;3;1;1;У этого здания отличная архитектура.
Пасека 31;1.4;5;1;2;У этого здания отличная архитектура.
Убежище 16;2.9;2;5;4;Мне нравится дизайн этого здания.
Коровник 96;5.0;4;5;1;Это здание не имеет особых архитектурных особенностей.
Кинотеатр 92;0.8;3;2;4;Это здание построено из стандартных строительных материалов.
Маяк 85;1.8;5;5;2;Это здание построено из стандартных строительных материалов.
Логово 87;1.6;1;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Коровник 96;1.1;1;1;2;Это здание имеет стандартную конструкцию.
Дворец 34;3.0;2;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Волчатник 84;1.2;2;1;3;Это великолепное здание!
Мостки 40;3.3;4;3;2;Мне нравится дизайн этого здания.
Логово 87;0.5;5;3;4;Это великолепное здание!
Дупло 63;2.7;5;4;5;Это здание не имеет особых архитектурных особенностей.
Особняк 94;1.9;4;5;2;Это великолепное здание!
Тоннель 4;2.5;5;3;5;Это здание представляет собой типичный образец современной архитектуры.
Жилой дом 13;1.1;1;1;3;Это здание не имеет особых архитектурных особенностей.
Док 21;0.7;2;5;5;Это здание не имеет особых архитектурных особенностей.
Кладбище 49;4.2;2;2;5;Это здание представляет собой типичный образец современной архитектуры.
Цирк 90;2.2;2;5;2;Мне нравится дизайн этого здания.
Лосятник 3;0.1;4;5;1;У этого здания отличная архитектура.
Музей 85;4.1;1;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кладбище 64;5.0;2;1;1;Это здание не имеет особых архитектурных особенностей.
Теплотрасса 12;3.5;5;1;2;Это здание не имеет особых архитектурных особенностей.
Цирк 80;3.3;2;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Школа 57;2.7;2;5;1;Это здание построено из стандартных строительных материалов.
Страусятник 65;4.8;5;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бункер 45;1.2;2;2;2;Это здание является примером функционального дизайна.
Жилой дом 13;4.3;4;1;4;Это здание не имеет особых архитектурных особенностей.
Мостки 12;0.3;5;1;5;Это здание не имеет особых архитектурных особенностей.
Башня 29;1.3;1;1;5;Это здание представляет собой типичный образец современной архитектуры.
Жилой дом 3;4.1;4;2;3;Это здание представляет собой типичный образец современной архитектуры.
Завод 67;3.9;2;5;2;У этого здания отличная архитектура.
Институт 58;0.3;1;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Верфь 10;0.8;2;3;3;Это здание имеет стандартную конструкцию.
Страусятник 65;2.4;5;5;1;Это здание не имеет особых архитектурных особенностей.
Бомбоубежище 54;1.4;3;5;4;Это здание имеет стандартную конструкцию.
Цирк 80;2.4;2;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Крольчатник 79;1.2;5;4;4;Это здание построено из стандартных строительных материалов.
Кафе 58;4.9;2;2;1;Это здание является примером функционального дизайна.
Лосятник 3;3.9;1;4;5;Это здание построено из стандартных строительных материалов.
Конюшня 35;1.2;5;5;2;Это здание представляет собой типичный образец современной архитектуры.
Чердак 7;2.4;1;2;1;Это здание имеет стандартную конструкцию.
Утятник 23;3.6;1;3;1;Это здание имеет стандартную конструкцию.
Театр 53;0.5;4;1;1;Это здание имеет стандартную конструкцию.
Мостки 12;0.7;3;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Тоннель 4;0.4;4;3;4;Это здание является примером функционального дизайна.
Больница 66;0.3;1;2;1;Это здание построено из стандартных строительных материалов.
Особняк 94;2.6;5;3;3;Это великолепное здание!
Торговый центр 89;1.1;5;3;3;Это здание является примером функционального дизайна.
Дворец 34;4.8;2;2;2;Это здание является примером функционального дизайна.
Отель 50;0.6;1;1;5;Это здание не имеет особых архитектурных особенностей.
Особняк 94;2.4;5;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Пасека 31;0.6;2;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 45;1.0;5;3;4;Это здание является примером функционального дизайна.
Стадион 67;3.9;1;3;1;Это здание не имеет особых архитектурных особенностей.
Кладбище 64;1.9;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Теплотрасса 12;1.0;4;5;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 45;4.2;2;1;3;Это здание построено из стандартных строительных материалов.
Мануфактура 45;2.0;2;5;1;Это здание является примером функционального дизайна.
Кладбище 49;3.2;3;1;2;Это здание имеет стандартную конструкцию.
Паутинник 55;0.1;5;4;4;Это здание имеет стандартную конструкцию.
Верфь 10;1.3;3;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Плантация 35;2.5;3;3;1;Это здание не имеет особых архитектурных особенностей.
Отель 50;3.4;5;3;2;У этого здания отличная архитектура.
Офис 44;2.0;1;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Кинотеатр 92;0.9;5;3;5;Это здание очень функционально.
Музей 85;2.8;2;5;4;Это здание очень функционально.
Дворец 13;0.4;3;5;3;Мне нравится дизайн этого здания.
Крольчатник 79;1.8;2;1;2;Это здание построено из стандартных строительных материалов.
Институт 58;3.7;1;1;4;Это здание является примером функционального дизайна.
Жилой дом 13;5.0;4;3;4;Это здание очень функционально.
Мост 10;1.4;5;1;4;Это здание представляет собой типичный образец современной архитектуры.
Пандус 60;1.5;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Церковь 79;0.2;1;1;5;Это великолепное здание!
Школа 57;4.8;1;1;2;Это здание построено из стандартных строительных материалов.
Бомбоубежище 9;0.9;3;3;4;Это здание представляет собой типичный образец современной архитектуры.
Стадион 67;3.2;2;4;5;Это здание построено из стандартных строительных материалов.
Лосятник 3;2.1;2;5;1;Это здание построено из стандартных строительных материалов.
Пандус 7;2.7;5;2;1;Это здание очень функционально.
Нефтепровод 54;1.4;2;3;1;Это здание очень функционально.
Нефтепровод 54;3.1;3;3;3;Это здание имеет стандартную конструкцию.
Отель 50;2.8;1;5;5;Это здание построено из стандартных строительных материалов.
Бункер 45;4.1;2;5;1;Это здание не имеет особых архитектурных особенностей.
Больница 66;1.5;1;4;5;Это здание построено из стандартных строительных материалов.
Канализация 73;0.9;4;1;5;У этого здания отличная архитектура.
Супермаркет 3;4.6;1;3;4;Это великолепное здание!
Супермаркет 27;1.1;1;1;1;Это великолепное здание!
Виадук 19;3.7;5;4;1;Это здание представляет собой типичный образец современной архитектуры.
Музей 85;5.0;5;3;3;Это здание представляет собой типичный образец современной архитектуры.
Театр 53;2.5;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Академия 5;2.7;4;4;1;Это здание представляет собой типичный образец современной архитектуры.
Верфь 32;1.0;3;1;2;Это великолепное здание!
Теплотрасса 12;4.1;2;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Музей 85;0.3;1;4;3;Это здание является примером функционального дизайна.
Бомбоубежище 54;0.9;3;2;5;Это здание является примером функционального дизайна.
Бомбоубежище 9;0.8;2;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Торговый центр 89;3.4;5;3;1;Это здание является примером функционального дизайна.
Музей 85;2.6;4;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Супермаркет 27;0.9;4;3;2;Это здание построено из стандартных строительных материалов.
Кафе 58;0.5;1;3;1;Это здание представляет собой типичный образец современной архитектуры.
Крольчатник 79;4.3;5;2;1;Это здание построено из стандартных строительных материалов.
Мануфактура 45;1.6;4;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Теплотрасса 12;4.7;5;2;5;Это здание построено из стандартных строительных материалов.
Тоннель 4;5.0;3;4;3;Это здание не имеет особых архитектурных особенностей.
Склад 20;4.1;5;1;2;Это здание очень функционально.
Академия 3;1.7;3;5;5;Это здание построено из стандартных строительных материалов.
Институт 58;1.3;1;3;2;Это здание имеет стандартную конструкцию.
Школа 57;0.6;4;2;2;У этого здания отличная архитектура.
Пандус 7;2.6;3;1;5;Это здание не имеет особых архитектурных особенностей.
Волчатник 40;4.2;1;5;3;Мне нравится дизайн этого здания.
Офис 44;4.4;5;4;5;Это здание является примером функционального дизайна.
Развязка 55;3.5;1;3;4;Это здание имеет стандартную конструкцию.
Цирк 90;1.0;2;2;5;У этого здания отличная архитектура.
Супермаркет 27;0.5;4;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Улей 100;2.1;5;2;5;Это здание является примером функционального дизайна.
Пасека 31;1.0;5;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Теплотрасса 12;1.5;2;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Жилой дом 3;0.1;2;1;5;Это здание не имеет особых архитектурных особенностей.
Фабрика 68;1.4;1;3;1;Это великолепное здание!
Дупло 57;3.2;5;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Плантация 35;3.3;5;5;1;Это здание очень функционально.
Пандус 60;4.5;1;5;5;Это здание является примером функционального дизайна.
Завод 67;3.6;5;4;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бомбоубежище 9;4.7;4;1;2;Это здание не имеет особых архитектурных особенностей.
Мост 10;1.7;3;1;4;Это здание не имеет особых архитектурных особенностей.
Жилой дом 3;4.3;2;2;2;Мне нравится дизайн этого здания.
Улей 100;0.3;1;4;2;Это здание построено из стандартных строительных материалов.
Жилой дом 13;0.2;2;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Стадион 67;2.7;5;2;2;Это здание представляет собой типичный образец современной архитектуры.
Чердак 7;3.2;1;2;1;Это здание не имеет особых архитектурных особенностей.
Верфь 10;4.4;1;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кинотеатр 92;1.0;3;5;4;Это здание представляет собой типичный образец современной архитектуры.
Плантация 35;3.7;2;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Тоннель 4;0.9;3;1;5;Это здание имеет стандартную конструкцию.
Университет 61;0.8;3;1;3;У этого здания отличная архитектура.
Академия 3;2.1;4;3;1;Это здание не имеет особых архитектурных особенностей.
Академия 3;3.2;3;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Утятник 23;1.7;5;3;2;Это здание не имеет особых архитектурных особенностей.
Лосятник 3;2.0;3;1;1;Это здание очень функционально.
Убежище 51;4.1;1;2;1;Это здание построено из стандартных строительных материалов.
Пасека 31;3.0;3;1;3;Это здание построено из стандартных строительных материалов.
Верфь 32;2.3;5;4;1;Мне нравится дизайн этого здания.
Особняк 94;1.0;3;3;1;Это здание является примером функционального дизайна.
Склад 20;4.3;2;3;3;Это здание очень функционально.
Лосятник 3;4.7;2;5;5;Это здание не имеет особых архитектурных особенностей.
Улей 100;4.6;4;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Волчатник 84;0.1;3;3;4;Это здание не имеет особых архитектурных особенностей.
Развязка 55;3.8;1;3;2;Это здание представляет собой типичный образец современной архитектуры.
Башня 29;1.6;4;5;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Страусятник 65;0.7;4;3;2;Это здание имеет стандартную конструкцию.
Развязка 55;0.4;3;3;5;Это здание построено из стандартных строительных материалов.
Плантация 35;1.0;2;1;2;Это здание построено из стандартных строительных материалов.
Нефтепровод 16;4.9;5;4;4;Это здание представляет собой типичный образец современной архитектуры.
Убежище 16;2.9;5;2;5;Это здание имеет стандартную конструкцию.
Музей 85;1.9;2;2;2;Это здание является примером функционального дизайна.
Мост 61;1.8;1;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Музей 85;4.5;2;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Дупло 63;1.1;5;2;5;Это здание построено из стандартных строительных материалов.
Логово 87;0.9;2;1;5;У этого здания отличная архитектура.
Бункер 45;2.7;2;5;2;Мне нравится дизайн этого здания.
Офис 44;3.4;3;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Особняк 94;2.6;1;3;5;Это здание очень функционально.
Лифт 20;4.5;2;4;4;Это здание имеет стандартную конструкцию.
Теплотрасса 59;1.1;3;5;5;Это здание имеет стандартную конструкцию.
Академия 3;3.6;5;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Коровник 96;4.8;2;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Супермаркет 27;3.6;3;3;5;Это здание представляет собой типичный образец современной архитектуры.
Пандус 60;2.8;4;2;4;Это здание является примером функционального дизайна.
Причал 61;1.3;5;1;2;Это здание является примером функционального дизайна.
Цирк 80;0.3;2;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кладбище 49;0.1;2;4;2;Мне нравится дизайн этого здания.
Петля 98;1.1;1;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Улей 29;0.4;1;3;3;Мне нравится дизайн этого здания.
Коровник 96;3.3;1;2;2;Это здание построено из стандартных строительных материалов.
Маяк 85;4.1;2;4;2;Это здание имеет стандартную конструкцию.
Фабрика 68;0.4;2;4;4;Это здание является примером функционального дизайна.
Институт 58;1.4;4;1;4;Это здание имеет стандартную конструкцию.
Цирк 80;2.4;1;3;2;Это здание не имеет особых архитектурных особенностей.
Бункер 45;0.4;4;1;5;Это здание построено из стандартных строительных материалов.
Кладбище 49;0.8;3;1;4;Мне нравится дизайн этого здания.
Виадук 19;2.9;4;2;3;У этого здания отличная архитектура.
Бункер 45;4.5;2;5;2;Это здание является примером функционального дизайна.
Башня 29;0.8;3;1;3;Это здание не имеет особых архитектурных особенностей.
Развязка 55;2.2;1;2;4;Это здание представляет собой типичный образец современной архитектуры.
Логово 87;2.3;4;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Особняк 94;1.8;1;5;5;Это здание имеет стандартную конструкцию.
Цирк 90;2.4;5;3;5;Это здание является примером функционального дизайна.
Жилой дом 13;3.7;4;5;3;Это здание имеет стандартную конструкцию.
Бункер 3;3.9;5;2;2;Это здание имеет стандартную конструкцию.
Плантация 35;4.2;4;4;3;Это здание является примером функционального дизайна.
Логово 87;4.4;3;2;1;У этого здания отличная архитектура.
Бомбоубежище 54;3.5;1;1;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Крольчатник 79;4.7;1;3;4;Это здание является примером функционального дизайна.
Убежище 51;2.2;4;5;4;Это здание является примером функционального дизайна.
Коровник 96;1.0;5;2;5;Это здание не имеет особых архитектурных особенностей.
Кинотеатр 92;2.7;3;1;3;Это здание не имеет особых архитектурных особенностей.
Цирк 80;1.1;5;1;2;Это здание представляет собой типичный образец современной архитектуры.
Лифт 20;4.0;1;3;1;Это здание имеет стандартную конструкцию.
Дворец 34;2.1;2;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Канализация 73;3.9;5;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Жилой дом 13;0.3;4;2;2;Это здание является примером функционального дизайна.
Теплотрасса 12;1.6;2;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Волчатник 84;0.9;3;4;4;Это здание построено из стандартных строительных материалов.
Пандус 7;3.8;5;2;3;Это здание представляет собой типичный образец современной архитектуры.
Отель 50;4.0;4;4;5;Это здание является примером функционального дизайна.
Офис 44;3.1;2;1;1;Это здание построено из стандартных строительных материалов.
Мостки 40;1.5;4;1;3;Это здание является примером функционального дизайна.
Супермаркет 27;3.1;1;4;3;Это здание представляет собой типичный образец современной архитектуры.
Жилой дом 3;2.8;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Нефтепровод 16;1.2;5;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Теплотрасса 12;2.4;5;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Маяк 85;4.9;1;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Отель 50;4.4;1;5;2;Это здание построено из стандартных строительных материалов.
Маяк 85;3.8;3;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бомбоубежище 54;4.2;4;3;1;Это здание представляет собой типичный образец современной архитектуры.
Торговый центр 89;1.7;5;2;3;Это здание не имеет особых архитектурных особенностей.
Лифт 20;1.4;4;2;1;Это здание является примером функционального дизайна.
Академия 5;4.3;1;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Теплотрасса 59;0.9;5;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Автомойка 29;0.7;3;5;3;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 4;1.5;3;4;4;Мне нравится дизайн этого здания.
Жилой дом 13;4.5;2;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Стадион 67;4.5;3;5;3;Это здание представляет собой типичный образец современной архитектуры.
Склад 20;3.5;5;1;4;Это здание не имеет особых архитектурных особенностей.
Особняк 94;0.8;3;5;4;Это здание имеет стандартную конструкцию.
Причал 61;2.2;2;2;3;Это здание имеет стандартную конструкцию.
Супермаркет 3;3.9;2;1;2;Мне нравится дизайн этого здания.
Бункер 3;1.5;5;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Жилой дом 13;1.5;3;3;1;Это великолепное здание!
Верфь 10;2.0;5;3;4;Это здание не имеет особых архитектурных особенностей.
Кладбище 49;1.2;5;4;1;Это здание имеет стандартную конструкцию.
Гараж 45;3.5;3;5;2;Мне нравится дизайн этого здания.
Чердак 7;2.5;1;4;4;Это здание является примером функционального дизайна.
Автомойка 29;4.0;5;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Мостки 12;1.3;2;3;5;Это великолепное здание!
Дворец 34;3.9;1;5;1;Это великолепное здание!
Музей 85;2.3;4;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Кафе 58;5.0;3;1;2;Это здание не имеет особых архитектурных особенностей.
Супермаркет 27;0.7;3;4;4;Это здание является примером функционального дизайна.
Нефтепровод 16;0.2;1;5;1;Это здание имеет стандартную конструкцию.
Гараж 45;2.7;1;2;5;Это великолепное здание!
Тоннель 4;1.4;2;2;4;Это здание является примером функционального дизайна.
Причал 61;2.1;3;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лосятник 3;1.0;3;5;3;У этого здания отличная архитектура.
Плантация 35;4.5;2;3;5;Это здание построено из стандартных строительных материалов.
Башня 29;2.7;1;3;4;Это здание построено из стандартных строительных материалов.
Улей 29;4.5;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Улей 100;4.9;5;2;3;Это здание не имеет особых архитектурных особенностей.
Цирк 80;3.6;2;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лосятник 3;2.7;1;4;4;Это здание построено из стандартных строительных материалов.
Гараж 45;4.4;4;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мост 61;4.2;3;5;2;У этого здания отличная архитектура.
Бункер 45;4.0;2;2;4;Это великолепное здание!
Петля 98;0.2;1;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Гараж 45;3.9;2;1;1;Мне нравится дизайн этого здания.
Причал 61;2.3;1;4;4;Это здание является примером функционального дизайна.
Отель 50;4.3;3;5;3;Это здание является примером функционального дизайна.
Бомбоубежище 54;2.2;5;5;4;Это здание имеет стандартную конструкцию.
Убежище 51;1.6;3;1;2;Это здание очень функционально.
Музей 85;1.0;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Кладбище 49;3.3;1;3;1;Это здание имеет стандартную конструкцию.
Гараж 45;4.1;1;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Конюшня 35;4.5;1;5;5;Это здание представляет собой типичный образец современной архитектуры.
Мануфактура 45;4.6;1;1;2;Это здание является примером функционального дизайна.
